"startdate","enddate","status","ipaddress","progress","duration (in seconds)","finished","recordeddate","responseid","recipientlastname","recipientfirstname","recipientemail","externalreference","locationlatitude","locationlongitude","distributionchannel","userlanguage","q_recaptchascore","q1_2","q1_3","q1_4","q1_5","q1_7","q1_8","tas_1","tas_2","tas_3","tas_4","tas_5","tas_6","tas_7","tas_8","tas_9","tas_10","tas_11","tas_12","tas_13","tas_14","tas_15","tas_16","tas_17","tas_18","tas_19","tas_20","ias_1","ias_2","ias_3","ias_4","ias_5","ias_6","ias_7","ias_8","ias_9","ias_10","ias_11","ias_12","ias_13","ias_14","ias_15","ias_16","ias_17","ias_18","ias_19","ias_20","ias_21","iats_1","iats_2","iats_3","iats_4","iats_5","iats_6","iats_7","iats_8","iats_9","iats_10","iats_11","iats_12","iats_13","iats_14","iats_15","iats_16","iats_17","iats_18","iats_19","iats_20","iats_21","sass_1","sass_2","sass_3","sass_4","sass_5","sass_6","sass_7","sass_8","sass_9","sass_10","sss_8_1","sss_8_2","sss_8_3","sss_8_4","sss_8_5","sss_8_6","sss_8_7","sss_8_8","pcs_1","pcs_2","pcs_3","pcs_4","pcs_5","pcs_6","pcs_7","pcs_8","pcs_9","pcs_10","pcs_11","pcs_12","pcs_13","phq_9_1","phq_9_2","phq_9_3","phq_9_4","phq_9_5","phq_9_6","phq_9_7","phq_9_8","phq_9_9","gad_7_1","gad_7_2","gad_7_3","gad_7_4","gad_7_5","gad_7_6","gad_7_7","stai_1","stai_2","stai_3","stai_4","stai_5","stai_6","stai_7","stai_8","stai_9","stai_10","stai_11","stai_12","stai_13","stai_14","stai_15","stai_16","stai_17","stai_18","stai_19","stai_20","vviq_q_2_1_1","vviq_q_2_1_2","vviq_q_2_1_3","vviq_q_2_1_4","vviq_q2_2_1","vviq_q2_2_2","vviq_q2_2_3","vviq_q2_2_4","vviq_q2_3_1","vviq_q2_3_2","vviq_q2_3_3","vviq_q2_3_4","vviq_q2_4_1","vviq_q2_4_2","vviq_q2_4_3","vviq_q2_4_4","q93","time_used","age","gender","evenodd_score","tas","ias","iats","sass","sss8","pcs","phq9","gad7","stai","vviq","cohort","vviq_k","vviq_q"
"45574.669340277775","45574.67344907407","0.0","81.131.201.236","100.0","354.0","1.0","45574.67346071759","R_8sb3OfFbwF32cnH",NA,NA,NA,NA,"53.7817","-1.7776","anonymous","EN","0.0","6662b5284ed97c869a7fe7d7","1.0","1.0","1.0","2.0","28",4,5,4,2,1,5,5,3,2,4,2,2,4,4,1,1,3,3,4,4,1,2,3,3,5,4,4,4,5,2,4,4,4,4,3,4,4,4,3,2,3,5,4,3,3,3,4,5,5,5,5,2,2,4,4,5,3,4,4,5,3,4,5,5,5,2,3,3,2,2,1,5,2,3,4,4,5,5,5,5,2,3,4,4,3,2,4,3,4,4,4,2,4,2,3,3,4,3,3,2,4,3,5,4,4,4,5,5,5,3,3,3,4,3,3,3,2,2,2,3,2,1,2,2,3,3,3,2,3,3,4,2,2,4,3,4,3,4,3,2,2,4,3,2,2,NA,354,28,2,-0.862078849406363,63,72,82,33,33,43,27,32,52,47,"control","2","2"
"45574.66935185185","45574.673738425925","0.0","143.58.172.92","100.0","378.0","1.0","45574.67374402778","R_83RxQQiAxJoPzmF",NA,NA,NA,NA,"51.5026","-0.066","anonymous","EN","1.0","6015a903e9236e6c9be301d7","1.0","1.0","1.0","1.0","31",1,1,1,2,3,2,1,2,2,3,4,2,1,1,3,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,3,2,2,3,3,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,3,2,1,3,1,1,2,1,2,2,2,2,4,4,4,4,3,3,3,2,3,2,2,2,NA,378,31,1,-0.988413189187588,44,83,31,26,8,13,9,7,34,44,"control","2","2"
"45574.66908564815","45574.673842592594","0.0","81.187.245.132","100.0","410.0","1.0","45574.67385353009","R_8rUBosmlwGKZLzw",NA,NA,NA,NA,"51.2461","0.6109","anonymous","EN","1.0","63e632b888bcbe9376df4f62","1.0","1.0","1.0","1.0","50",2,3,1,3,2,1,1,2,1,5,3,3,2,2,2,4,4,4,3,1,1,4,1,4,4,4,3,3,3,3,4,4,4,3,4,1,3,2,3,2,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,2,5,2,3,2,2,3,1,1,1,3,2,1,1,5,1,2,2,2,2,1,1,1,3,2,4,4,2,2,2,4,2,1,2,1,1,1,4,3,4,4,1,4,4,3,3,2,1,2,3,4,1,1,3,1,1,3,2,1,3,2,1,3,1,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1,NA,410,50,1,-0.943977348910061,49,63,23,28,15,27,16,24,41,26,"control","1","1"
"45574.670324074075","45574.67450231482","0.0","95.144.179.199","100.0","361.0","1.0","45574.67451675926","R_8eUYTOAFK6xprEk",NA,NA,NA,NA,"52.4007","1.5362","anonymous","EN","1.0","5968c58012e7f700013b4acc","1.0","1.0","1.0","2.0","31",4,4,5,1,1,3,3,4,4,2,3,3,4,4,2,3,4,4,3,3,4,4,3,3,4,4,4,4,4,4,5,5,5,4,4,3,4,4,5,4,4,3,3,3,4,1,3,3,1,3,4,3,1,1,3,1,1,1,3,1,3,1,4,3,3,2,2,3,3,4,3,3,3,2,3,3,2,2,2,2,3,3,3,4,4,3,3,3,4,4,4,4,3,3,3,2,2,2,3,3,3,2,4,4,4,5,5,5,5,2,4,3,4,3,2,2,2,3,2,3,3,2,4,3,1,4,4,2,3,2,3,3,1,3,2,3,3,1,2,1,2,3,3,2,2,NA,361,31,2,-0.966434675206074,64,85,47,30,19,45,23,32,56,36,"control","2","1"
"45574.66967592593","45574.67474537037","0.0","51.194.169.203","100.0","437.0","1.0","45574.67476163195","R_8aaawTmJCWH6dPY",NA,NA,NA,NA,"50.913","0.3464","anonymous","EN","1.0","579f55486475d400015ab683","1.0","1.0","1.0","2.0","59",2,1,1,1,4,1,1,2,2,3,4,1,1,1,4,3,1,4,3,2,5,5,5,5,5,4,5,4,4,4,4,4,3,3,5,2,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,1,3,3,2,2,1,1,1,2,1,1,1,1,3,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,3,1,3,3,1,1,1,2,1,3,2,1,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,3,4,5,4,4,4,NA,437,59,2,-0.948342769689874,42,79,21,23,9,18,12,13,30,63,"control","3","4"
"45574.66936342593","45574.674849537034","0.0","86.28.232.53","100.0","473.0","1.0","45574.67486048611","R_2YXKgIjcrJmefwM",NA,NA,NA,NA,"51.5888","-0.0247","anonymous","EN","1.0","5daed30cfce7b000156c8bd3","1.0","1.0","1.0","1.0","43",2,2,2,2,2,3,2,4,3,2,4,2,2,2,2,4,2,4,2,2,4,4,4,4,4,4,4,4,4,3,4,4,3,2,4,3,4,2,3,4,4,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,3,3,3,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,3,1,3,1,1,3,1,2,2,2,2,1,3,1,1,2,2,3,3,3,3,3,2,3,2,1,2,3,3,3,3,4,4,4,4,2,2,2,3,4,4,4,4,"CQGKCGKU",473,43,1,-0.967736130173753,50,76,23,27,10,15,13,13,43,53,"control","3","3"
"45574.66908564815","45574.67519675926","0.0","87.102.119.5","100.0","528.0","1.0","45574.67520733796","R_8wprrIpWseA2lQp",NA,NA,NA,NA,"53.8006","-0.3696","anonymous","EN","1.0","5c8d7e956ca70b0001128dd2","1.0","1.0","1.0","1.0","57",2,4,1,4,3,2,1,3,2,3,5,4,2,1,2,3,4,4,3,2,4,2,4,5,3,5,4,2,5,3,2,1,4,3,4,1,2,1,3,1,1,1,3,2,3,4,3,4,2,1,1,2,1,3,1,5,1,2,1,1,1,1,1,3,3,1,2,4,3,3,4,2,3,1,1,2,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,3,1,2,2,1,1,1,3,1,1,1,1,3,1,2,2,2,2,2,1,1,3,1,3,2,1,2,3,2,2,1,2,1,1,4,5,5,4,3,5,4,5,5,5,5,3,4,3,5,4,NA,528,57,1,-0.819376538936078,55,60,43,26,18,14,16,11,36,69,"control","4","4"
"45574.6703125","45574.67523148148","0.0","86.5.110.47","100.0","425.0","1.0","45574.67524600695","R_8Tiu95CRHo0ZRi9",NA,NA,NA,NA,"54.9001","-1.4211","anonymous","EN","1.0","5efdb4266a255121c1bcc531","1.0","1.0","1.0","2.0","28",3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,4,3,3,3,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,3,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,NA,425,28,2,-0.993592164515424,59,80,44,25,10,26,17,21,48,56,"control","3","3"
"45574.66924768518","45574.67532407407","0.0","128.240.225.14","100.0","525.0","1.0","45574.67534003472","R_2TAx1fl1FYj98VK",NA,NA,NA,NA,"54.9742","-1.615","anonymous","EN","1.0","5c6e60b04e08ad00018cc995","1.0","1.0","1.0","2.0","58",2,2,1,2,2,2,2,2,2,2,4,2,2,2,4,4,2,4,2,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,2,1,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,4,3,2,2,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,3,2,3,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,2,2,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,5,4,5,5,4,4,4,3,3,3,3,3,4,4,4,4,NA,525,58,2,-0.967581462721079,48,86,43,27,10,26,11,9,44,62,"control","3","4"
"45574.6687962963","45574.67548611111","0.0","88.212.166.77","100.0","577.0","1.0","45574.67549458333","R_21ikx7R1rB04aB9",NA,NA,NA,NA,"51.9059","0.4683","anonymous","EN","1.0","57027b6768c641000e0c894a","1.0","1.0","1.0","2.0","43",2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,4,4,2,2,4,4,4,3,4,4,4,4,2,3,4,4,3,4,4,4,4,3,4,4,3,2,3,2,3,3,3,4,2,2,2,3,3,2,2,3,4,3,2,4,2,4,2,4,4,2,2,3,4,4,2,1,1,1,1,4,1,2,2,5,2,2,2,3,3,3,1,4,3,3,4,2,2,2,1,3,3,2,2,2,1,1,4,4,4,4,3,3,3,2,3,2,3,2,3,3,1,3,2,2,4,3,2,3,3,3,3,3,2,3,3,2,3,4,4,4,4,3,3,2,3,4,4,4,4,"CQGKCGKU",577,43,2,-0.72678762226157,47,77,58,28,17,34,17,25,52,54,"control","3","3"
"45574.66921296297","45574.675717592596","0.0","146.90.113.42","100.0","562.0","1.0","45574.675732766205","R_8YthTs3z4VyuYo4",NA,NA,NA,NA,"51.8951","-1.1585","anonymous","EN","1.0","66cb523748729ce025dad854","1.0","1.0","1.0","1.0","36",4,4,2,4,4,4,2,2,3,2,2,4,4,2,2,3,4,4,4,2,3,4,4,4,4,4,4,4,4,2,4,4,5,4,3,2,3,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,3,4,2,2,2,2,1,1,3,2,4,5,3,4,2,3,2,1,1,4,1,4,2,2,2,3,2,2,2,3,2,2,3,3,3,4,4,3,3,2,3,2,3,2,1,1,4,4,4,4,3,4,4,3,3,2,3,3,3,3,3,2,3,3,4,3,2,4,3,3,3,3,3,4,5,3,4,4,4,4,5,5,4,5,5,5,5,5,5,NA,562,36,1,-0.906002861975306,62,74,48,28,17,35,20,27,59,72,"control","4","4"
"45574.67005787037","45574.67599537037","0.0","2.96.232.152","100.0","513.0","1.0","45574.676005625","R_2eP9qAaK4Qrvkh1",NA,NA,NA,NA,"54.0771","-0.2306","anonymous","EN","1.0","594a8e2eeaa18e000163f6cd","1.0","1.0","1.0","2.0","47",2,3,2,3,4,2,2,4,2,3,3,3,3,2,2,2,4,3,4,4,3,2,4,2,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,2,2,2,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,4,3,2,3,3,4,3,2,3,2,1,2,3,3,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,3,3,3,3,1,1,1,3,3,2,3,2,3,4,2,2,3,2,3,3,2,2,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"594a8e2eeaa18e000163f6cd",513,47,2,-0.923560621822391,57,73,32,30,15,21,13,15,53,64,"control","3","4"
"45574.67055555555","45574.676030092596","0.0","94.194.98.2","100.0","472.0","1.0","45574.67603606481","R_8myMRBiu4V2VpVI",NA,NA,NA,NA,"57.1453","-2.0945","anonymous","EN","1.0","66630508af78290edc5ad342","1.0","1.0","1.0","1.0","28",5,4,4,2,3,4,3,3,4,3,3,4,3,3,4,4,1,1,5,2,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,3,3,3,5,4,4,3,3,4,4,4,4,4,3,4,3,4,3,3,4,3,3,4,3,4,5,4,5,5,5,5,2,4,4,4,3,1,2,5,3,4,3,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,3,2,3,1,3,3,3,3,1,3,3,4,3,3,2,1,2,1,2,4,3,1,2,2,1,2,1,3,1,2,1,2,4,2,4,3,4,2,5,5,5,5,4,4,5,5,5,5,5,5,"CQGKCGKU",472,28,1,-0.942179883289128,65,71,76,43,25,18,22,20,39,71,"control","4","4"
"45574.66905092593","45574.67607638889","0.0","81.133.160.215","100.0","607.0","1.0","45574.676083425926","R_8GVUCcxFyjFxAQt",NA,NA,NA,NA,"53.5495","-2.7659","anonymous","EN","0.8999999761581421","66ead4331b8f0aa91449fc4c","1.0","1.0","1.0","2.0","21",2,2,1,3,2,3,2,2,3,2,2,2,3,1,2,5,4,4,3,4,3,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,3,2,1,4,3,2,1,4,1,1,1,2,2,1,1,4,2,1,1,3,3,2,1,2,2,1,1,1,1,1,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,3,2,3,1,1,3,2,3,2,2,1,2,4,3,1,3,1,1,2,1,5,5,4,4,5,5,4,4,4,3,3,3,5,5,5,4,"CQGKCGKU",607,21,2,-0.975085214747426,52,83,42,17,15,13,12,9,41,68,"control","4","4"
